"id","day","value","calories"
"4558609924","2016-05-05 00:00:00","82.0",2262
"4558609924","2016-05-06 00:00:00","73.0",1722
"4558609924","2016-05-07 00:00:00","75.0",1973
"4558609924","2016-05-08 00:00:00","102.0",2666
"4558609924","2016-05-09 00:00:00","79.0",2223
"4558609924","2016-05-10 00:00:00","73.0",1889
"4558609924","2016-05-11 00:00:00","74.0",2131
"4558609924","2016-05-12 00:00:00","78.0",1452
"5553957443","2016-04-12 00:00:00","62.0",2026
"5553957443","2016-04-13 00:00:00","58.0",1718
